name,state,url,platform,platform_url,ags,kind,state_id
Biberach an der Riß,Baden-Württemberg,http://www.wahlen-bc.de/wahlergebnis/webapp/index.html,votemanager,http://wahlen.votemanager.de/,08426021,Stadt,08
Biblis,Hessen,http://m.wahlen-in-biblis.de,votemanager,http://wahlen.votemanager.de/,06431003,Gemeinde,06
Biebergemünd,Hessen,http://wahl.biebergemuend.net/index.html,votemanager,http://wahlen.votemanager.de/,06435003,Gemeinde,06
Bielefeld,Nordrhein-Westfalen,http://wahlen.regioit.de/GT/05711000/index.html,votemanager,http://wahlen.votemanager.de/,05711000,Stadt,05
Billerbeck,Nordrhein-Westfalen,http://wahlen.billerbeck.de/wahlen/wahlapp/index.html,votemanager,http://wahlen.votemanager.de/,05558008,Stadt,05
Bingen am Rhein,Rheinland-Pfalz,http://www.bingen.de/ftp/wahlen/stadt2014_mobil.html,votemanager,http://wahlen.votemanager.de/,07339005,Stadt,07
Bischofsmais,Bayern,http://www.wahl.info/kandidaten/ort/gemeinde-bischofsmais_61.html,votemanager,http://wahlen.votemanager.de/,09276116,Gemeinde,09
Bischofswerda,Sachsen,http://wahl.bischofswerda.de/app/index.html,votemanager,http://wahlen.votemanager.de/,14625040,Stadt,14
Bitburg,Rheinland-Pfalz,https://wahlen.ewois.de/m142/index.html,votemanager,http://wahlen.votemanager.de/,07232018,Stadt,07
Schöllkrippen,Bayern,http://wahl.vg-schoellkrippen.de/index.html,votemanager,http://wahlen.votemanager.de/,09671152,Gemeinde,09
Schöllkrippen,Bayern,http://wahl.vg-schoellkrippen.de/index.html,votemanager,http://wahlen.votemanager.de/,09671152,Gemeinde,09
Schöllkrippen,Bayern,http://wahl.vg-schoellkrippen.de/index.html,votemanager,http://wahlen.votemanager.de/,09671152,Gemeinde,09
Schöllkrippen,Bayern,http://wahl.vg-schoellkrippen.de/index.html,votemanager,http://wahlen.votemanager.de/,09671152,Gemeinde,09
Schöllkrippen,Bayern,http://wahl.vg-schoellkrippen.de/index.html,votemanager,http://wahlen.votemanager.de/,09671152,Gemeinde,09
Schöllkrippen,Bayern,http://wahl.vg-schoellkrippen.de/index.html,votemanager,http://wahlen.votemanager.de/,09671152,Gemeinde,09
